FID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Leng,Shape__Length
1426,Jewish War Veterans Drive,5344600,5,2,1,2009,BL,37.375917492,122.624155990941
1427,Jewish War Veterans Drive,4767500,5,2,1,2009,BL,50.875720543,166.914759813753
1428,Blue Hill Avenue,6227200,3,2,1,2012,SLM,274.834719703,901.686909556442
1429,Jewish War Veterans Drive,5737800,5,2,1,2009,BL,179.753475697,589.741194857384
1430,Old Trail Road,5778500,5,2,0,0,SUP,32.6549890722,107.135493298007
1431,Seaver Street,6228600,3,2,1,2016,BL,331.954444296,1089.08720596575
1432,Seaver Street,5148700,3,2,1,2016,BFBL,362.886568852,1190.57035125547
1433,Seaver Street,5290300,3,2,1,2016,BFBL,240.34235145,788.523198040388
1434,Old Trail Road,5334100,5,2,0,0,SUP,205.575443297,674.458766899166
1435,Ruggles Street,4573100,5,2,0,2010,SLM,17.730964527,58.1723394548486
1436,Massachusetts Avenue,4521900,3,2,0,2016,SBLBL,55.5026592796,182.094974639482
1437,Albany Street,5251200,5,2,0,2012,SLM,76.8828150358,252.239702301083
1438,Causeway Street,5287400,5,2,0,2017,SBL,49.3043105539,161.75922559109
1439,Causeway Street,4433000,5,2,0,2017,SBL,47.8514849608,156.992746884249
1440,Massachusetts Avenue,5308900,3,2,0,2016,SBLBL,46.5728805606,152.797858982031
1441,Massachusetts Avenue,5308800,3,2,0,2016,SBLBL,46.5466979782,152.711958289422
1442,Massachusetts Avenue,5200300,3,2,0,2016,SBL,31.4231750486,103.094200129528
1443,Hereford Street,4500900,5,2,0,2013,BL,41.5956847043,136.468508901024
1444,Norfolk Street,5723602,5,2,0,2017,BL,31.5816998531,103.614293571608
1445,Ballou Avenue,4885901,0,2,0,2015,SLM,61.9965341316,203.400295717757
1446,Norfolk Street,5217600,5,2,0,2017,BL,63.2547360861,207.528246672049
1447,Blue Hill Avenue,6211600,3,2,1,2012,SLM,170.498040315,559.375653937311
1448,Blue Hill Avenue,4771600,3,2,1,2012,SLM,118.492225414,388.753242867574
1449,Blue Hill Avenue,6211300,5,2,1,2016,BL,44.3660343745,145.557564434343
1450,Blue Hill Avenue,6240500,5,2,1,2010,BL,77.78287005,255.192632835848
1451,Columbia Road,5402100,5,2,1,2010,BL,16.857580436,55.3069118403419
1452,Columbia Road,6246400,5,2,1,2010,BL,69.6059070937,228.365380197206
1453,Blue Hill Avenue,5223300,5,2,1,2012,SLM,44.8830415921,147.253778954228
1454,Blue Hill Avenue,6240800,5,2,1,2012,SLM,102.699929542,336.941352155554
1455,Blue Hill Avenue,6240900,5,2,1,2012,SLM,25.3292335978,83.1009938953707
1456,Warren Street,4704200,5,2,0,2010,SLM,40.5165643315,132.928094804751
1457,Warren Street,6264000,5,2,1,2011,SLM,32.1950564943,105.626614511077
1458,Warren Street,6264100,5,2,1,2011,BL,143.479546401,470.732478462143
1459,Warren Street,5601200,5,2,1,2011,BL,73.4726399948,241.051486386112
1460,Walnut Avenue,5189500,6,2,0,2011,BLSL,41.2400759965,135.301815968762
1461,Walnut Avenue,5741900,6,2,0,2011,BLSL,13.6066879289,44.6412753284506
1462,Warren Street,5741600,5,2,1,2011,BL,84.6278556156,277.64988963037
1463,Warren Street,5474600,5,2,0,2011,SLM,23.4259483943,76.8566323596143
1464,Warren Street,6263200,5,2,0,2011,SLM,40.8443165164,134.003395107824
1465,Warren Street,5602600,5,2,1,2011,SLM,22.4444671637,73.6365559989501
1466,Washington Street,5632500,3,2,1,2011,SLM,39.1039582489,128.293569694127
1467,Columbus Avenue,4537200,3,2,0,2009,BL,79.2534713314,260.017430508701
1468,Dalton Street,4517200,5,2,0,2013,BLSL,79.8949564014,262.122036131439
1469,Commonwealth Avenue,6209000,3,2,1,2010,BL,200.707153706,658.486720122912
1470,Cambridge Street,5838200,3,2,0,2011,BL,99.2717707266,325.694134483491
1471,Columbia Road,6239100,5,2,1,2010,BL,108.613531716,356.342895298701
1472,Columbia Road,5753000,5,2,1,2010,BL,72.0092740792,236.250426719253
1473,Columbia Road,5753100,5,2,1,2010,BL,105.972794224,347.679075717826
1474,Columbia Road,6239400,5,2,1,2010,BL,72.3852952664,237.484089539946
1475,Norfolk Street,4858400,5,2,0,2017,BL,58.0874127857,190.575120091347
1476,Talbot Avenue,4859700,5,2,0,2010,BL,126.271902946,414.277068276487
1477,Geneva Avenue,4775800,5,2,0,2016,SLM,72.549117294,238.021562331548
1478,Albany Street,4595800,5,2,0,2012,SLM,143.309797379,470.175560224281
1479,Massachusetts Avenue,46806700,3,2,1,2020,SBL,209.871677789,688.553996213022
1480,Massachusetts Avenue,5263200,3,2,1,2020,SBL,208.761050355,684.910212708063
1481,Columbus Avenue,4527700,3,2,0,2009,BL,82.4525417109,270.513047269291
1482,Dartmouth Street,5268700,5,2,0,2011,BL,48.1723540991,158.045465075437
1483,Dartmouth Street,5268600,5,2,0,2011,BL,48.5338706532,159.231540647601
1484,Dartmouth Street,5268900,5,2,0,2011,BL,49.1285761561,161.182670243792
1485,Beacon Street,4472100,3,2,0,2018,SBL,0,619.72833325172
1486,Sullivan Square,4392300,3,2,0,2014,BFBL,49.3705586463,161.976574482931
1487,Columbia Road,6229900,5,2,1,2010,BL,214.685468464,704.347241096552
1488,Columbia Road,6230400,5,2,1,2010,SLM,134.907588182,442.609312218807
1489,Stuart Street,5177700,3,2,0,2017,BL,154.189033757,505.86852159892
1490,Morton Street,5875600,5,2,1,2020,BL,0,290.807443178744
1491,Quincy Street,4697300,5,2,0,2019,SLM,0,356.748569263962
